datetime,births,year,month,day,day_of_week
01-01-1974,7002,1974,1,1,1
02-01-1974,7809,1974,1,2,2
03-01-1974,8377,1974,1,3,3
04-01-1974,8851,1974,1,4,4
05-01-1974,7827,1974,1,5,5
06-01-1974,7093,1974,1,6,6
07-01-1974,8623,1974,1,7,0
08-01-1974,8786,1974,1,8,1
09-01-1974,8346,1974,1,9,2
10-01-1974,8682,1974,1,10,3
11-01-1974,9044,1974,1,11,4
12-01-1974,7769,1974,1,12,5
13-01-1974,7352,1974,1,13,6
14-01-1974,8796,1974,1,14,0
15-01-1974,8939,1974,1,15,1
16-01-1974,8732,1974,1,16,2
17-01-1974,8604,1974,1,17,3
18-01-1974,8971,1974,1,18,4
19-01-1974,7751,1974,1,19,5
20-01-1974,7479,1974,1,20,6
21-01-1974,9058,1974,1,21,0
22-01-1974,8767,1974,1,22,1
23-01-1974,8457,1974,1,23,2
24-01-1974,8692,1974,1,24,3
25-01-1974,8690,1974,1,25,4
26-01-1974,7799,1974,1,26,5
27-01-1974,7541,1974,1,27,6
28-01-1974,8462,1974,1,28,0
29-01-1974,8911,1974,1,29,1
30-01-1974,8439,1974,1,30,2
31-01-1974,8620,1974,1,31,3
01-02-1974,8768,1974,2,1,4
02-02-1974,7853,1974,2,2,5
03-02-1974,7432,1974,2,3,6
04-02-1974,8651,1974,2,4,0
05-02-1974,8892,1974,2,5,1
06-02-1974,8792,1974,2,6,2
07-02-1974,8705,1974,2,7,3
08-02-1974,8822,1974,2,8,4
09-02-1974,7692,1974,2,9,5
10-02-1974,7150,1974,2,10,6
11-02-1974,8766,1974,2,11,0
12-02-1974,8924,1974,2,12,1
13-02-1974,8808,1974,2,13,2
14-02-1974,8895,1974,2,14,3
15-02-1974,9034,1974,2,15,4
16-02-1974,7939,1974,2,16,5
17-02-1974,7456,1974,2,17,6
18-02-1974,8637,1974,2,18,0
19-02-1974,9016,1974,2,19,1
20-02-1974,8909,1974,2,20,2
21-02-1974,8748,1974,2,21,3
22-02-1974,9060,1974,2,22,4
23-02-1974,8151,1974,2,23,5
24-02-1974,7558,1974,2,24,6
25-02-1974,8512,1974,2,25,0
26-02-1974,8856,1974,2,26,1
27-02-1974,8710,1974,2,27,2
28-02-1974,8534,1974,2,28,3
01-03-1974,8917,1974,3,1,4
02-03-1974,8083,1974,3,2,5
03-03-1974,7650,1974,3,3,6
04-03-1974,8890,1974,3,4,0
05-03-1974,9270,1974,3,5,1
06-03-1974,8686,1974,3,6,2
07-03-1974,8640,1974,3,7,3
08-03-1974,8964,1974,3,8,4
09-03-1974,7950,1974,3,9,5
10-03-1974,7417,1974,3,10,6
11-03-1974,8837,1974,3,11,0
12-03-1974,8884,1974,3,12,1
13-03-1974,8507,1974,3,13,2
14-03-1974,8402,1974,3,14,3
15-03-1974,8890,1974,3,15,4
16-03-1974,7834,1974,3,16,5
17-03-1974,7226,1974,3,17,6
18-03-1974,8694,1974,3,18,0
19-03-1974,8978,1974,3,19,1
20-03-1974,8455,1974,3,20,2
21-03-1974,8400,1974,3,21,3
22-03-1974,8668,1974,3,22,4
23-03-1974,7773,1974,3,23,5
24-03-1974,7034,1974,3,24,6
25-03-1974,8570,1974,3,25,0
26-03-1974,8756,1974,3,26,1
27-03-1974,8515,1974,3,27,2
28-03-1974,8461,1974,3,28,3
29-03-1974,8639,1974,3,29,4
30-03-1974,7526,1974,3,30,5
31-03-1974,7305,1974,3,31,6
01-04-1974,8550,1974,4,1,0
02-04-1974,9148,1974,4,2,1
03-04-1974,8571,1974,4,3,2
04-04-1974,8517,1974,4,4,3
05-04-1974,8656,1974,4,5,4
06-04-1974,7455,1974,4,6,5
07-04-1974,7051,1974,4,7,6
08-04-1974,8436,1974,4,8,0
09-04-1974,8917,1974,4,9,1
10-04-1974,8446,1974,4,10,2
11-04-1974,8259,1974,4,11,3
12-04-1974,8386,1974,4,12,4
13-04-1974,7609,1974,4,13,5
14-04-1974,7032,1974,4,14,6
15-04-1974,8342,1974,4,15,0
16-04-1974,8615,1974,4,16,1
17-04-1974,8602,1974,4,17,2
18-04-1974,8333,1974,4,18,3
19-04-1974,8587,1974,4,19,4
20-04-1974,7480,1974,4,20,5
21-04-1974,7208,1974,4,21,6
22-04-1974,8497,1974,4,22,0
23-04-1974,9035,1974,4,23,1
24-04-1974,8665,1974,4,24,2
25-04-1974,8556,1974,4,25,3
26-04-1974,8762,1974,4,26,4
27-04-1974,7490,1974,4,27,5
28-04-1974,7055,1974,4,28,6
29-04-1974,8332,1974,4,29,0
30-04-1974,8677,1974,4,30,1
01-05-1974,8574,1974,5,1,2
02-05-1974,8238,1974,5,2,3
03-05-1974,8660,1974,5,3,4
04-05-1974,7384,1974,5,4,5
05-05-1974,6928,1974,5,5,6
06-05-1974,8317,1974,5,6,0
07-05-1974,8886,1974,5,7,1
08-05-1974,8484,1974,5,8,2
09-05-1974,8525,1974,5,9,3
10-05-1974,8595,1974,5,10,4
11-05-1974,7710,1974,5,11,5
12-05-1974,7086,1974,5,12,6
13-05-1974,8639,1974,5,13,0
14-05-1974,8886,1974,5,14,1
15-05-1974,9020,1974,5,15,2
16-05-1974,8630,1974,5,16,3
17-05-1974,8873,1974,5,17,4
18-05-1974,7667,1974,5,18,5
19-05-1974,6896,1974,5,19,6
20-05-1974,8793,1974,5,20,0
21-05-1974,9061,1974,5,21,1
22-05-1974,8776,1974,5,22,2
23-05-1974,8577,1974,5,23,3
24-05-1974,8924,1974,5,24,4
25-05-1974,7593,1974,5,25,5
26-05-1974,6932,1974,5,26,6
27-05-1974,7460,1974,5,27,0
28-05-1974,8570,1974,5,28,1
29-05-1974,9063,1974,5,29,2
30-05-1974,8958,1974,5,30,3
31-05-1974,9050,1974,5,31,4
01-06-1974,7448,1974,6,1,5
02-06-1974,7046,1974,6,2,6
03-06-1974,8314,1974,6,3,0
04-06-1974,8910,1974,6,4,1
05-06-1974,8737,1974,6,5,2
06-06-1974,8599,1974,6,6,3
07-06-1974,9110,1974,6,7,4
08-06-1974,7471,1974,6,8,5
09-06-1974,7181,1974,6,9,6
10-06-1974,8939,1974,6,10,0
11-06-1974,8754,1974,6,11,1
12-06-1974,8603,1974,6,12,2
13-06-1974,8456,1974,6,13,3
14-06-1974,8898,1974,6,14,4
15-06-1974,7666,1974,6,15,5
16-06-1974,7211,1974,6,16,6
17-06-1974,8676,1974,6,17,0
18-06-1974,9016,1974,6,18,1
19-06-1974,8864,1974,6,19,2
20-06-1974,8833,1974,6,20,3
21-06-1974,9364,1974,6,21,4
22-06-1974,8003,1974,6,22,5
23-06-1974,7162,1974,6,23,6
24-06-1974,8503,1974,6,24,0
25-06-1974,9038,1974,6,25,1
26-06-1974,8999,1974,6,26,2
27-06-1974,8882,1974,6,27,3
28-06-1974,9089,1974,6,28,4
29-06-1974,8011,1974,6,29,5
30-06-1974,7531,1974,6,30,6
01-07-1974,9216,1974,7,1,0
02-07-1974,9923,1974,7,2,1
03-07-1974,9693,1974,7,3,2
04-07-1974,7924,1974,7,4,3
05-07-1974,9051,1974,7,5,4
06-07-1974,8285,1974,7,6,5
07-07-1974,7626,1974,7,7,6
08-07-1974,9472,1974,7,8,0
09-07-1974,9860,1974,7,9,1
